OBJECTID *,Shape *,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area
758,Polygon,QN,3393,23,405,4053901,40539011003,539,1006,24,34,11385,E291,104,46,1600,4,5,3E,46-46 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,F5,6,0, ,AVALANCHE ENTERPRISES INC,90746,46699,46699,0,0,0,0,0,46699,0,2,3,2,0,1,224,430.75,425,225,N,0,Y,5,0,425250,1316700,0,1950,0,0, , ,0.51,0,2,0,4,4033930023,0,539,1005893,199211,13b, ,403 027,41802, ,4033930023,12/7/1998,1,1,1,24v1, ,40.713438,-73.92193, ,0,1450.401511,90094.4055
759,Polygon,QN,3393,50,405,4053901,40539011003,539,1006,24,34,11385,E291,104,46,1600,4,5,3E,14 WOODWARD AVENUE,M3-1, , , , , , , , , ,N,E9,6,0, ,WOODWARD AVENUE REALTY LLC,28570,29982,29982,0,5953,0,0,0,24029,0,2,1,1,0,1,148.33,208.98,148.33,179, ,2,N,0,0,698400,2135700,0,2013,0,0, , ,1.05,0,2,0,4,4033930050,0,539,1006262,199133,13b, ,403 027,41802, ,4033930049,7/18/2017,1, , ,24v1, ,40.713223,-73.920599, ,0,691.911885,28698.59025
761,Polygon,QN,3393,62,405,4053901,40539011002,539,1005,24,34,11385,E291,104,46,1600,4,5,3E,18-51 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E1,6,0, ,QUEENS LOGISTICS CENTER 1 LLC,186430,29207,29207,0,0,0,0,0,29207,0,2,2,0,0,0,456.14,437.7,0,0,N,1,Y,3,0,1834200,3566250,0,1993,0,0, , ,0.16,0,1,2.4,4,4033930062,0,539,1006450,198832,13b, ,403 027,41802, ,4033930062,9/13/2022,1, , ,24v1, ,40.712397,-73.919922, ,0,1760.752097,187487.7889
763,Polygon,QN,3394,8,405,4053901,40539011006,539,1009,24,34,11385,E291,104,46,1600,4,5,3E,47 ONDERDONK AVENUE,M1-1, , , , , , , , , ,N,F5,6,0, ,EMMY ENTERPRISES LLC,20000,48000,48000,0,0,0,0,0,48000,0,2,1,3,0,3,199,100,80,200,N,0,N,5,0,151200,1009350,0,1931,0,0, , ,2.4,0,1,2.4,4,4033940008,0,539,1006614,198479,13b, ,403 043,41802, ,0, ,1, , ,24v1, ,40.711427,-73.919331, ,0,622.012712,20564.7203
764,Polygon,QN,3410,145,405,4053901,40539011004,539,1007,24,34,11385,E291,104,46,1600,4,5,3E,18-19 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E1,6,0, ,"LEWIS REALTY CORP.,",47850,53500,53500,0,0,0,0,53500,0,0,2,1,2,0,2,100,355,100,283,N,0,Y,5,0,646200,2201850,0,1926,0,0, , ,1.12,0,1,2.4,4,4034100145,0,539,1006154,198509,13b, ,403 061,41802, ,0, ,1, , ,24v1, ,40.711511,-73.920991, ,0,1299.436561,48085.75485
765,Polygon,QN,3375,87,405,4053901,40539011001,539,1002,24,34,11385,E291,104,46,1600,4,5,3E,19-25 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,F9,6,0, ,"MP2, LLC",15898,4177,4177,0,0,0,0,0,4177,0,2,1,1,0,2,81.04,313.59,33,43,N,1,Y,5,0,222750,439650,0,1922,0,0, , ,0.26,0,1,2.4,4,4033750087,0,539,1006957,199026,13b, ,403 043,41801, ,4033750087,1/8/2020,1, , ,24v1, ,40.712928,-73.918092, ,0,569.186004,16026.31814
767,Polygon,QN,3376,15,405,4053901,40539011007,539,1001,24,34,11385,E291,104,46,1600,4,5,3E,19-40 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E1,6,0, ,TRI-BORO SHELVING & PARTITION CORP.,34107,25234,25234,0,0,0,0,0,25234,0,2,1,1,0,0,195.08,230.75,115,118,N,0,Y,5,0,461700,1062900,0,1950,0,0, , ,0.74,0,1,2.4,4,4033760015,0,539,1007203,198926,13b, ,403 043,41801, ,0, ,1, , ,24v1, ,40.712653,-73.917205, ,0,771.152825,34290.35747
769,Polygon,QN,3377,14,405,4053901,40539011000,539,1000,24,34,11385,E291,104,46,1600,4,5,3E,19-48 TROUTMAN STREET,M1-1, , , , , , , , , ,N,E9,6,0, ,"1948 TROUTMAN STREET,",62200,57880,57880,0,5000,0,0,52880,0,0,2,1,1,0,1,291,200,291,200,N,0,Y,5,0,1521000,3313800,0,1931,0,0, , ,0.93,0,1,2.4,4,4033770014,0,539,1007551,198961,13b, ,403 043,41801, ,4033770006,11/14/1991,1, , ,24v1, ,40.712748,-73.91595, ,0,1119.588299,64285.31401
771,Polygon,QN,3393,19,405,4053901,40539011003,539,1006,24,34,11385,E291,104,46,1600,4,5,3E,46-26 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,F9,6,0, ,FMC REALTY LLC,5100,3400,3400,0,0,0,0,800,2600,0,2,1,1,0,1,20,200.58,35,32,N,0,Y,5,0,68850,155250,0,1930,0,0, , ,0.67,0,2,0,4,4033930019,0,539,1005710,199242,13b, ,403 027,41802, ,0, ,1,1,1,24v1, ,40.713524,-73.92259, ,0,544.583976,15393.09001
772,Polygon,QN,3393,49,405,4053901,40539011003,539,1006,24,34,11385,E291,104,46,1600,4,5,3E,10 WOODWARD AVENUE,M3-1, , , , , , , , , ,N,E9,6,0, ,"WOODWARD AVENUE REALTY, LLC",27705,26791,26791,0,1992,0,0,0,24799,0,2,1,1,0,1,108.48,208.98,128.84,183,N,1,Y,5,0,677250,2459250,0,2013,2013,0, , ,0.97,0,2,0,4,4033930049,0,539,1006151,199210,13b, ,403 027,41802, ,4033930049,7/18/2017,1, ,1,24v1, ,40.713435,-73.920999, ,0,679.390636,28061.63324
